strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,probe_frac,hop_count,gossip_r,trial
antsql,0.0,10000,14,10,500,3531,0.9071084678561314,6.406,37.342991866634875,85.41354944142743,3104.0,0.4921515776121769,0,,0,0.05,0,0.0,0
antsql,0.0,10001,14,10,500,3555,0.8804500703234881,6.26,49.64709333364459,110.55472179321443,3139.0,0.5007178178337853,0,,0,0.05,0,0.0,1
antsql,0.0,10002,14,10,500,3559,0.8609159876369766,6.128,51.406052461354996,116.04005770050809,3219.0,0.5123348718764921,0,,0,0.05,0,0.0,2
antsql,0.0,10300,14,10,500,3470,0.929971181556196,6.454,41.12553468681765,93.01219988940586,4828.0,0.5993792675356922,0,,0,0.05,1,0.0,0
antsql,0.0,10301,14,10,500,3466,0.9036353144835545,6.264,48.32078767445349,107.87929392982589,5253.0,0.6264758497316637,0,,0,0.05,1,0.0,1
antsql,0.0,10302,14,10,500,3434,0.9030285381479325,6.202,48.00849888889693,109.10305170891874,5212.0,0.6269698063274389,0,,0,0.05,1,0.0,2
antsql,0.0,10400,14,10,500,3583,0.917108568238906,6.572,51.260446412784745,114.23398466436483,5030.0,0.6048581048581049,0,,0,0.05,1,0.01,0
antsql,0.0,10401,14,10,500,3548,0.9075535512965051,6.44,39.82742264439003,91.10214341809608,5152.0,0.6153846153846154,0,,0,0.05,1,0.01,1
antsql,0.0,10402,14,10,500,3523,0.9179676412148737,6.468,45.33566162816586,104.58075935245391,5116.0,0.6126946107784431,0,,0,0.05,1,0.01,2
antsql,0.0,10500,14,10,500,3526,0.8961996596710153,6.32,51.605153163356995,115.83016873708561,5431.0,0.6321732045163543,0,,0,0.05,1,0.03,0
antsql,0.0,10501,14,10,500,3460,0.9049132947976879,6.262,61.16592739060283,135.23053710147218,5266.0,0.6271287364534953,0,,0,0.05,1,0.03,1
antsql,0.0,10502,14,10,500,3505,0.8758915834522111,6.14,49.35182707825547,111.34259321745901,5462.0,0.6401781528363807,0,,0,0.05,1,0.03,2
antsql,0.0,10600,14,10,500,3469,0.9383107523782069,6.51,36.00650562685696,80.36251473361932,8567.0,0.7246658771781425,0,,0,0.05,2,0.0,0
antsql,0.0,10601,14,10,500,3481,0.9155415110600402,6.374,58.22575794094832,128.50146044378636,8289.0,0.722289996514465,0,,0,0.05,2,0.0,1
antsql,0.0,10602,14,10,500,3531,0.9212687623902577,6.506,49.733680188798374,109.79212769646142,8193.0,0.715795911235366,0,,0,0.05,2,0.0,2
antsql,0.0,10700,14,10,500,3640,0.9324175824175824,6.788,38.83083523951346,86.79548522685087,8652.0,0.7182467209032044,0,,0,0.05,2,0.01,0
antsql,0.0,10701,14,10,500,3517,0.9090133636622121,6.394,38.67849065796553,88.95151305793472,8496.0,0.7265885572564782,0,,0,0.05,2,0.01,1
antsql,0.0,10702,14,10,500,3543,0.9108100479819362,6.454,47.32039755864401,105.35775385404517,8117.0,0.7155324400564175,0,,0,0.05,2,0.01,2
antsql,0.0,10800,14,10,500,3457,0.9080127277986694,6.278,50.33283505751576,114.11445764012704,8719.0,0.7352841963231573,0,,0,0.05,2,0.03,0
antsql,0.0,10801,14,10,500,3538,0.8654607122668174,6.124,54.57598213187915,121.12266148803931,8371.0,0.73217878072247,0,,0,0.05,2,0.03,1
antsql,0.0,10802,14,10,500,3478,0.89850488786659,6.25,50.71710493842516,113.4906208897747,9427.0,0.7510356915232632,0,,0,0.05,2,0.03,2
antsql,0.0,10900,14,10,500,3542,0.8461321287408244,5.994,63.839925242090644,148.2184046142749,3231.0,0.5187861271676301,0,,0,0.1,0,0.0,0
antsql,0.0,10901,14,10,500,3511,0.876103674166904,6.152,46.71070134040019,106.73626734115622,3300.0,0.5175658720200753,0,,0,0.1,0,0.0,1
antsql,0.0,10902,14,10,500,3580,0.8972067039106145,6.424,47.38570422589579,110.70549432619708,3014.0,0.4840989399293286,0,,0,0.1,0,0.0,2
antsql,0.0,11200,14,10,500,3595,0.9237830319888735,6.642,39.96157440500164,88.4563838790217,4906.0,0.5963291600826547,0,,0,0.1,1,0.0,0
antsql,0.0,11201,14,10,500,3527,0.9257159058690105,6.53,54.36411484239105,122.42944587285774,4886.0,0.599435652067231,0,,0,0.1,1,0.0,1
antsql,0.0,11202,14,10,500,3442,0.9282393957001743,6.39,33.68758766810525,75.93310865649043,5048.0,0.6123983986412714,0,,0,0.1,1,0.0,2
antsql,0.0,11300,14,10,500,3498,0.9353916523727844,6.544,39.11736685398856,88.31580345441859,4955.0,0.6022851586240427,0,,0,0.1,1,0.01,0
antsql,0.0,11301,14,10,500,3562,0.8702975856260527,6.2,49.82373908643441,110.69169183129179,5338.0,0.6326143635932685,0,,0,0.1,1,0.01,1
antsql,0.0,11302,14,10,500,3441,0.937808776518454,6.454,36.90204447838016,81.2849190138685,4854.0,0.6006682341294394,0,,0,0.1,1,0.01,2
antsql,0.0,11400,14,10,500,3545,0.876163610719323,6.212,63.676952332951636,138.70772882662743,5472.0,0.6379109349498717,0,,0,0.1,1,0.03,0
antsql,0.0,11401,14,10,500,3552,0.8952702702702703,6.36,56.298701083637866,127.08454760527898,5233.0,0.6220135504576251,0,,0,0.1,1,0.03,1
antsql,0.0,11402,14,10,500,3554,0.8829487900956668,6.276,60.091565912585146,129.70690261850189,5399.0,0.6324235679981258,0,,0,0.1,1,0.03,2
antsql,0.0,11500,14,10,500,3567,0.9192598822539949,6.558,37.12786820606845,85.38185588388068,7917.0,0.7071275455519829,0,,0,0.1,2,0.0,0
antsql,0.0,11501,14,10,500,3470,0.9034582132564841,6.27,38.64315701260778,92.85036832075686,8087.0,0.7206380324362859,0,,0,0.1,2,0.0,1
antsql,0.0,11502,14,10,500,3472,0.902073732718894,6.264,47.96159488752524,109.87149505646363,8405.0,0.7285256132443443,0,,0,0.1,2,0.0,2
antsql,0.0,11600,14,10,500,3545,0.8657263751763047,6.138,50.744399356271174,115.55864328526769,8026.0,0.7233889139251916,0,,0,0.1,2,0.01,0
antsql,0.0,11601,14,10,500,3541,0.9144309517085569,6.476,54.38253255404502,120.29882342562348,8580.0,0.7260111694026062,0,,0,0.1,2,0.01,1
antsql,0.0,11602,14,10,500,3473,0.8977828966311546,6.236,43.577632067685926,100.2972198997872,8109.0,0.7222766544936314,0,,0,0.1,2,0.01,2
antsql,0.0,11700,14,10,500,3510,0.868091168091168,6.094,48.496138856794275,108.78779058511141,8183.0,0.728673196794301,0,,0,0.1,2,0.03,0
antsql,0.0,11701,14,10,500,3542,0.8636363636363636,6.118,47.889358392437515,107.82276452270298,8565.0,0.7368375774260152,0,,0,0.1,2,0.03,1
antsql,0.0,11702,14,10,500,3594,0.8964941569282137,6.444,39.91957211619836,89.33741632769261,8355.0,0.7216895568800207,0,,0,0.1,2,0.03,2
antsql,0.0,11800,14,10,500,3427,0.9512693317770645,6.52,28.128255121487403,62.39826476990586,5047.0,0.6075598892500301,0,,0,0.15,0,0.0,0
antsql,0.0,11801,14,10,500,3583,0.9634384593915714,6.904,27.88373746267654,59.717085423089706,5248.0,0.6032183908045977,0,,0,0.15,0,0.0,1
antsql,0.0,11802,14,10,500,3474,0.927461139896373,6.444,43.75684434342845,98.13745680448449,5942.0,0.6484068092536011,0,,0,0.15,0,0.0,2
antsql,0.0,12100,14,10,500,3548,0.9658962795941376,6.854,40.72415556042387,88.4850776566151,7093.0,0.6742395437262357,0,,0,0.15,1,0.0,0
