phase,tick,status,elapsed_ms
1,0,ok,0.3493
1,1,ok,0.1517
1,2,ok,0.1014
1,3,ok,0.122
1,4,ok,0.0987
1,5,ok,0.0992
1,6,ok,0.0983
1,7,ok,0.0984
1,8,ok,0.2813
1,9,ok,0.268
1,10,ok,0.2141
1,11,ok,0.1009
1,12,ok,0.0992
1,13,ok,0.43
1,14,ok,0.1066
1,15,ok,0.0996
1,16,ok,0.0742
1,17,ok,0.1038
1,18,ok,0.118
1,19,ok,0.0983
1,20,ok,0.0979
1,21,ok,0.1081
1,22,ok,0.099
1,23,ok,0.1097
1,24,ok,0.0976
1,25,ok,0.0997
1,26,ok,0.1591
1,27,ok,0.165
1,28,ok,0.1791
1,29,ok,0.1535
1,30,ok,0.1772
1,31,ok,0.1563
1,32,ok,0.1547
1,33,ok,0.1571
1,34,ok,0.1559
1,35,ok,0.1496
1,36,ok,0.1421
1,37,ok,0.1584
1,38,ok,0.15
1,39,ok,0.1427
2,0,fail,2034.27
2,1,fail,2027.7
2,2,fail,2041.94
2,3,ok,0.3057
2,4,fail,2025.76
2,5,ok,0.2225
2,6,ok,0.0812
2,7,ok,0.1007
2,8,ok,0.2088
2,9,ok,0.085
2,10,ok,0.0701
2,11,ok,0.068
2,12,ok,0.0664
2,13,ok,0.0659
2,14,ok,0.1028
2,15,ok,0.1383
2,16,ok,0.0823
2,17,ok,0.0683
2,18,ok,0.066
2,19,ok,0.0682
2,20,ok,0.1294
2,21,ok,0.1108
2,22,ok,0.0909
2,23,ok,0.0705
2,24,ok,0.109
2,25,ok,0.1221
2,26,ok,0.123
2,27,ok,0.0822
2,28,ok,0.1198
2,29,fail,2016.76
2,30,ok,0.214
2,31,ok,0.1366
2,32,ok,0.1275
2,33,ok,0.1703
2,34,ok,0.1157
2,35,fail,2018.66
2,36,ok,0.2746
2,37,ok,0.0999
2,38,ok,0.0903
2,39,ok,0.0835
2,40,ok,0.1014
2,41,ok,0.0864
2,42,ok,0.0839
2,43,ok,0.0812
2,44,ok,0.0798
2,45,ok,0.083
2,46,ok,0.079
2,47,ok,0.0811
2,48,ok,0.0886
2,49,ok,0.0906
2,50,ok,0.0926
2,51,ok,0.0844
2,52,ok,0.0856
2,53,ok,0.0948
2,54,ok,0.0827
2,55,ok,0.08
2,56,fail,2023.73
2,57,ok,0.6298
2,58,ok,0.1725
2,59,ok,0.1108
2,60,ok,0.0694
2,61,ok,0.0667
2,62,ok,0.0653
2,63,ok,0.066
2,64,ok,0.0712
2,65,ok,0.1341
2,66,ok,0.0739
2,67,ok,0.0657
2,68,ok,0.0649
2,69,ok,0.0685
2,70,ok,0.1134
2,71,ok,0.0941
2,72,ok,0.0727
2,73,ok,0.0658
2,74,ok,0.088
2,75,ok,0.0653
2,76,ok,0.0667
2,77,ok,0.0778
2,78,ok,0.0666
2,79,ok,0.0639
