strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
adaptive_centralized,0.2,447825,14,10,400,2703,0.6625971143174251,4.4775,19.537944359124072,37.933842547977264,266.0,0.12931453573164803,59,0.7966101694915254,0,4,0
adaptive_centralized,0.2,152083,14,10,400,2851,0.5580498070852332,3.9775,19.13661984322925,33.52998275849083,266.0,0.14324178782983307,63,0.08064516129032258,0,4,1
adaptive_centralized,0.2,407530,14,10,400,2849,0.18287118287118287,1.3025,14.951759722452932,33.76429065004203,266.0,0.33799237611181704,64,1.3548387096774193,2,4,2
adaptive_centralized,0.2,257038,14,10,400,2816,0.5589488636363636,3.935,23.314280092718494,44.25009995045788,266.0,0.14456521739130435,62,0.22580645161290322,0,4,3
adaptive_centralized,0.2,50926,14,10,400,2829,0.6518204312477908,4.61,17.97492205186396,31.03171493946404,266.0,0.12606635071090047,51,0.0625,3,4,4
adaptive_centralized,0.2,245162,14,10,400,2883,0.4287200832466181,3.09,12.333215612834788,22.425383619635824,266.0,0.17709720372836218,82,2.1219512195121952,0,4,5
adaptive_centralized,0.2,357266,14,10,400,2781,0.0996044588277598,0.6925,7.260427754338686,16.610865704523516,266.0,0.48987108655616945,58,1.0517241379310345,0,4,6
adaptive_centralized,0.2,530931,14,10,400,2849,0.1825201825201825,1.3,16.79052031988929,33.86039700385256,266.0,0.3384223918575064,72,3.5694444444444446,0,4,7
adaptive_centralized,0.2,505833,14,10,400,2714,0.16912306558585113,1.1475,16.874563459541132,34.61764621377209,266.0,0.36689655172413793,73,2.4657534246575343,0,4,8
adaptive_centralized,0.2,270290,14,10,400,2805,0.5807486631016042,4.0725,17.354587964733582,31.920737159825762,266.0,0.14036939313984167,67,0.9552238805970149,0,4,9
adaptive_centralized,0.2,265764,14,10,400,2749,0.5209166969807203,3.58,17.202223445826462,30.66557076162651,266.0,0.15665488810365136,71,0.028169014084507043,0,4,10
adaptive_centralized,0.2,733067,14,10,400,2864,0.604050279329609,4.325,17.884519410872226,31.589794432170578,266.0,0.13326653306613226,65,2.34375,0,4,11
adaptive_centralized,0.2,123172,14,10,400,2765,0.46690777576853526,3.2275,16.855459431768026,31.160558294429585,266.0,0.1708413615928067,55,0.6851851851851852,1,4,12
adaptive_centralized,0.2,432549,14,10,400,2821,0.14852889046437434,1.0475,15.738184980250551,31.51065169611817,266.0,0.3883211678832117,72,4.357142857142857,2,4,13
adaptive_centralized,0.2,621564,14,10,400,2762,0.5423606082548877,3.745,21.36547557915343,41.915911103413414,266.0,0.15079365079365079,61,0.5901639344262295,0,4,14
adaptive_centralized,0.2,788785,14,10,400,2805,0.3711229946524064,2.6025,20.11891698940325,35.81319777797685,266.0,0.2035195103289977,58,2.0350877192982457,1,4,15
adaptive_centralized,0.2,25810,14,10,400,2730,0.452014652014652,3.085,17.091713279249532,43.778235320066145,266.0,0.17733333333333334,56,2.685185185185185,2,4,16
adaptive_centralized,0.2,142645,14,10,400,2782,0.6761322789360172,4.7025,23.48853117672199,39.64519354978211,266.0,0.12389380530973451,54,0.0,1,4,17
adaptive_centralized,0.2,112079,14,10,400,2757,0.7257889009793254,5.0025,15.789986610576193,29.106337182952352,266.0,0.11733568592853992,54,0.2978723404255319,6,4,18
adaptive_centralized,0.2,771156,14,10,400,2821,0.40694789081885857,2.87,18.817545274101317,35.18648776664004,266.0,0.18811881188118812,57,7.388888888888889,3,4,19
adaptive_centralized,0.2,19290,14,10,400,2818,0.3353442157558552,2.3625,22.618110809487327,62.72927750803126,266.0,0.21965317919075145,64,5.046875,0,6,0
adaptive_centralized,0.2,926129,14,10,400,2734,0.8675932699341624,5.93,21.270478247601478,38.39474761296897,266.0,0.10083396512509477,44,0.5227272727272727,0,6,1
adaptive_centralized,0.2,795156,14,10,400,2763,0.24104234527687296,1.665,20.690462072321157,46.39001351843529,266.0,0.2854077253218884,54,1.8888888888888888,0,6,2
adaptive_centralized,0.2,331487,14,10,400,2790,0.7053763440860215,4.92,17.643139703727357,30.817494882018806,266.0,0.11906893464637422,59,1.1694915254237288,0,6,3
adaptive_centralized,0.2,612161,14,10,400,2780,0.5467625899280576,3.8,20.98593438646395,44.11353143177512,266.0,0.14893617021276595,74,5.485714285714286,3,6,4
adaptive_centralized,0.2,271705,14,10,400,2781,0.6213592233009708,4.32,24.04347228745399,46.627305685500794,266.0,0.1334002006018054,52,3.5510204081632653,3,6,5
adaptive_centralized,0.2,182910,14,10,400,2744,0.5120262390670554,3.5125,22.495287968452114,41.181848979754655,266.0,0.15918611609814481,60,0.11864406779661017,0,6,6
adaptive_centralized,0.2,934353,14,10,400,2809,0.8786044855820577,6.17,25.989380415311434,44.4853962581589,266.0,0.09729334308705194,50,1.26,0,6,7
adaptive_centralized,0.2,206008,14,10,400,2654,0.7211755840241145,4.785,26.99296391084437,49.53263478514479,266.0,0.12201834862385322,73,0.0,0,6,8
adaptive_centralized,0.2,650564,14,10,400,2841,0.5462865188313974,3.88,28.54167995506786,56.743122446999216,266.0,0.14631463146314633,60,0.05555555555555555,5,6,9
adaptive_centralized,0.2,579803,14,10,400,2832,0.7337570621468926,5.195,27.618497973099906,52.82097590668604,266.0,0.11348122866894197,54,2.1296296296296298,0,6,10
adaptive_centralized,0.2,772883,14,10,400,2732,0.4575402635431918,3.125,27.848793182093615,52.10669911924127,266.0,0.17546174142480211,62,2.8524590163934427,1,6,11
adaptive_centralized,0.2,358824,14,10,400,2815,0.6731793960923623,4.7375,21.20096764595215,38.51250554775534,266.0,0.12309116149930588,62,1.6612903225806452,0,6,12
adaptive_centralized,0.2,323792,14,10,400,2768,0.3703034682080925,2.5625,23.91751060789771,45.52811242179594,266.0,0.20604182804027885,62,2.0806451612903225,0,6,13
adaptive_centralized,0.2,303540,14,10,400,2792,0.5268624641833811,3.6775,21.39343185783414,38.72583629675498,266.0,0.15313759355210133,51,0.8478260869565217,5,6,14
