strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,max_query_hops,trial
adaptive_centralized,0.2,573860,14,10,400,2852,0.46458625525946706,3.3125,21.896926680333234,42.17224337787015,266.0,0.1671904462602137,55,1.7222222222222223,1,4,0
antsql,0.2,573860,14,10,400,2852,0.391304347826087,2.79,20.95347914520284,40.88160607670795,659.0,0.37126760563380284,55,0.3333333333333333,4,4,0
adaptive_centralized,0.2,573860,14,10,400,2852,0.5028050490883591,3.585,24.157851733855924,45.56226371044154,266.0,0.1564705882352941,55,2.0754716981132075,2,6,0
antsql,0.2,573860,14,10,400,2852,0.47124824684431976,3.36,26.735607859348335,53.32007578784409,750.0,0.35816618911174786,55,0.2830188679245283,2,6,0
adaptive_centralized,0.2,573860,14,10,400,2852,0.5038569424964937,3.5925,24.25471166639848,46.25621833397552,266.0,0.15619495008807985,55,2.0754716981132075,2,8,0
antsql,0.2,573860,14,10,400,2852,0.5133239831697055,3.66,30.31862083660631,61.47072383633358,703.0,0.3244116289801569,55,1.8076923076923077,3,8,0
adaptive_centralized,0.2,573860,14,10,400,2852,0.5038569424964937,3.5925,24.25471166639848,46.25621833397552,266.0,0.15619495008807985,55,2.0754716981132075,2,10,0
antsql,0.2,573860,14,10,400,2852,0.532608695652174,3.7975,32.62966505086435,66.21710933731583,487.0,0.24277168494516452,55,4.0,4,10,0
adaptive_centralized,0.2,573860,14,10,400,2852,0.5038569424964937,3.5925,24.25471166639848,46.25621833397552,266.0,0.15619495008807985,55,2.0754716981132075,2,15,0
antsql,0.2,573860,14,10,400,2852,0.5462833099579243,3.895,34.02296680075854,70.22048139466702,735.0,0.32054077627562144,55,0.11764705882352941,4,15,0
adaptive_centralized,0.2,573860,14,10,400,2852,0.5038569424964937,3.5925,24.25471166639848,46.25621833397552,266.0,0.15619495008807985,55,2.0754716981132075,2,25,0
antsql,0.2,573860,14,10,400,2852,0.5462833099579243,3.895,34.02296680075854,70.22048139466702,735.0,0.32054077627562144,55,0.11764705882352941,4,25,0
adaptive_centralized,0.2,954531,14,10,400,2742,0.6415025528811087,4.3975,16.33266301797334,32.54692338050786,266.0,0.13135802469135802,59,0.01694915254237288,0,4,1
antsql,0.2,954531,14,10,400,2742,0.43690736688548504,2.995,14.38921805343395,32.92505344124831,628.0,0.343921139101862,59,0.4067796610169492,0,4,1
adaptive_centralized,0.2,954531,14,10,400,2742,0.7031363967906638,4.82,18.081222043793588,34.754913156189374,266.0,0.12123974475843209,59,0.11864406779661017,0,6,1
antsql,0.2,954531,14,10,400,2742,0.5397520058351568,3.7,18.797712538825362,40.05189664009981,806.0,0.352580927384077,59,0.6779661016949152,0,6,1
adaptive_centralized,0.2,954531,14,10,400,2742,0.7035010940919038,4.8225,18.10008844984734,34.754913156189374,266.0,0.12118451025056948,59,0.11864406779661017,0,8,1
antsql,0.2,954531,14,10,400,2742,0.6210795040116703,4.2575,22.703605648381107,48.22754748651793,744.0,0.3040457703310176,59,0.7457627118644068,0,8,1
adaptive_centralized,0.2,954531,14,10,400,2742,0.7035010940919038,4.8225,18.10008844984734,34.754913156189374,266.0,0.12118451025056948,59,0.11864406779661017,0,10,1
antsql,0.2,954531,14,10,400,2742,0.6480671043034282,4.4425,24.126887417220487,51.415082359260715,626.0,0.2605076987099459,59,0.6610169491525424,0,10,1
adaptive_centralized,0.2,954531,14,10,400,2742,0.7035010940919038,4.8225,18.10008844984734,34.754913156189374,266.0,0.12118451025056948,59,0.11864406779661017,0,15,1
antsql,0.2,954531,14,10,400,2742,0.6466083150984683,4.4325,25.29513911113921,55.503854613966745,704.0,0.2842147759386354,59,0.3559322033898305,0,15,1
adaptive_centralized,0.2,954531,14,10,400,2742,0.7035010940919038,4.8225,18.10008844984734,34.754913156189374,266.0,0.12118451025056948,59,0.11864406779661017,0,25,1
antsql,0.2,954531,14,10,400,2742,0.6466083150984683,4.4325,25.29513911113921,55.503854613966745,704.0,0.2842147759386354,59,0.3559322033898305,0,25,1
adaptive_centralized,0.2,595457,14,10,400,2755,0.5328493647912885,3.67,14.813670963428633,29.266483171747584,266.0,0.15340253748558247,64,1.0952380952380953,1,4,2
antsql,0.2,595457,14,10,400,2755,0.4664246823956443,3.2125,17.492409528520277,37.49353630976326,782.0,0.378326076439284,64,1.8125,0,4,2
adaptive_centralized,0.2,595457,14,10,400,2755,0.6228675136116153,4.29,17.256596545900162,33.25875012680283,266.0,0.13420787083753785,64,1.140625,0,6,2
antsql,0.2,595457,14,10,400,2755,0.6025408348457351,4.15,20.789462801302108,43.3222860857676,751.0,0.3114890087100788,64,0.3870967741935484,2,6,2
adaptive_centralized,0.2,595457,14,10,400,2755,0.6355716878402904,4.3775,17.84933826246009,34.810410480875966,266.0,0.13187902825979178,64,1.609375,0,8,2
antsql,0.2,595457,14,10,400,2755,0.6667876588021778,4.5925,24.754270310635455,48.05904734714114,745.0,0.28853601859024014,64,2.8125,0,8,2
adaptive_centralized,0.2,595457,14,10,400,2755,0.6355716878402904,4.3775,17.84933826246009,34.810410480875966,266.0,0.13187902825979178,64,1.609375,0,10,2
antsql,0.2,595457,14,10,400,2755,0.7019963702359346,4.835,26.43364193155433,53.106653663503934,745.0,0.2780888391190743,64,0.9375,0,10,2
adaptive_centralized,0.2,595457,14,10,400,2755,0.6355716878402904,4.3775,17.84933826246009,34.810410480875966,266.0,0.13187902825979178,64,1.609375,0,15,2
antsql,0.2,595457,14,10,400,2755,0.712885662431942,4.91,29.242982426831894,58.74799444219543,775.0,0.28294998174516245,64,1.625,0,15,2
adaptive_centralized,0.2,595457,14,10,400,2755,0.6355716878402904,4.3775,17.84933826246009,34.810410480875966,266.0,0.13187902825979178,64,1.609375,0,25,2
antsql,0.2,595457,14,10,400,2755,0.712885662431942,4.91,29.242982426831894,58.74799444219543,775.0,0.28294998174516245,64,1.625,0,25,2
adaptive_centralized,0.2,538846,14,10,400,2844,0.6557665260196905,4.6625,16.467101481722025,31.650952213097586,266.0,0.12482402627874238,57,3.543859649122807,0,4,3
antsql,0.2,538846,14,10,400,2844,0.5059774964838256,3.5975,16.784543718955568,35.06373836225286,884.0,0.3805424020662936,57,3.210526315789474,0,4,3
adaptive_centralized,0.2,538846,14,10,400,2844,0.7134317862165963,5.0725,17.913857755801892,34.933669159761465,266.0,0.1159041394335512,57,1.894736842105263,0,6,3
antsql,0.2,538846,14,10,400,2844,0.5917721518987342,4.2075,23.81413727035473,50.7194874890351,743.0,0.3062654575432811,57,6.035087719298246,0,6,3
adaptive_centralized,0.2,538846,14,10,400,2844,0.7187060478199718,5.11,18.06498274475446,35.06373836225286,266.0,0.11515151515151516,57,0.24561403508771928,0,8,3
antsql,0.2,538846,14,10,400,2844,0.6810829817158931,4.8425,30.545189455937543,62.85075045909278,823.0,0.29818840579710143,57,0.9649122807017544,0,8,3
adaptive_centralized,0.2,538846,14,10,400,2844,0.7187060478199718,5.11,18.06498274475446,35.06373836225286,266.0,0.11515151515151516,57,0.24561403508771928,0,10,3
antsql,0.2,538846,14,10,400,2844,0.7162447257383966,5.0925,32.6097009469175,71.32828821439611,779.0,0.2766335227272727,57,2.6666666666666665,0,10,3
adaptive_centralized,0.2,538846,14,10,400,2844,0.7187060478199718,5.11,18.06498274475446,35.06373836225286,266.0,0.11515151515151516,57,0.24561403508771928,0,15,3
antsql,0.2,538846,14,10,400,2844,0.7387482419127989,5.2525,34.811422193229454,75.90403227708147,689.0,0.24695340501792115,57,0.12280701754385964,0,15,3
adaptive_centralized,0.2,538846,14,10,400,2844,0.7187060478199718,5.11,18.06498274475446,35.06373836225286,266.0,0.11515151515151516,57,0.24561403508771928,0,25,3
antsql,0.2,538846,14,10,400,2844,0.7387482419127989,5.2525,34.811422193229454,75.90403227708147,689.0,0.24695340501792115,57,0.12280701754385964,0,25,3
adaptive_centralized,0.2,392568,14,10,400,2777,0.3262513503781059,2.265,16.945169568772208,36.659320457854705,266.0,0.22696245733788395,62,1.6612903225806452,0,4,4
antsql,0.2,392568,14,10,400,2777,0.32409074540871446,2.25,17.86277187078225,39.09783001786318,661.0,0.42344650864830236,62,3.0483870967741935,0,4,4
adaptive_centralized,0.2,392568,14,10,400,2777,0.3604609290601368,2.5025,18.75191176770257,37.66841638282244,266.0,0.20994475138121546,62,1.4666666666666666,2,6,4
antsql,0.2,392568,14,10,400,2777,0.41303564998199493,2.8675,23.267147149139003,52.54479735126587,544.0,0.3217031342400946,62,1.6290322580645162,0,6,4
adaptive_centralized,0.2,392568,14,10,400,2777,0.3691033489377026,2.5625,19.54373148385636,40.09733657108642,266.0,0.20604182804027885,62,1.5833333333333333,2,8,4
antsql,0.2,392568,14,10,400,2777,0.44256391789701116,3.0725,26.75229450905425,63.13612444071187,586.0,0.3228650137741047,62,4.180327868852459,1,8,4
