churn_rate,max_query_hops,n_pairs,mean_gap_antsql_minus_adaptive,se_gap,ci95_lo,ci95_hi,excludes_zero
0.2,4,20,-0.1037,0.0127,-0.1287,-0.0788,True
0.2,6,20,-0.0455,0.0116,-0.0682,-0.0228,True
0.2,8,20,0.0038,0.0085,-0.0129,0.0206,False
0.2,10,20,0.0191,0.009,0.0015,0.0366,True
0.2,15,20,0.0293,0.0089,0.0119,0.0466,True
0.2,25,20,0.0293,0.0089,0.0119,0.0466,True
0.3,4,20,-0.0692,0.0124,-0.0935,-0.0449,True
0.3,6,20,-0.0264,0.0093,-0.0446,-0.0082,True
0.3,8,20,0.0111,0.0071,-0.0027,0.025,False
0.3,10,20,0.029,0.0071,0.0151,0.0429,True
0.3,15,20,0.0389,0.0073,0.0246,0.0531,True
0.3,25,20,0.0389,0.0073,0.0246,0.0531,True
