strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
static_centralized,0.0,683170,14,10,400,2852,1.0,7.13,22.799828166545346,36.51387851274842,0.0,0.0,0,,0,0
static_centralized,0.0,922520,14,10,400,2791,1.0,6.9775,27.723464152869514,54.635423993679495,0.0,0.0,0,,0,1
static_centralized,0.0,560076,14,10,400,2802,1.0,7.005,16.351406871534294,28.094165114306968,0.0,0.0,0,,0,2
static_centralized,0.0,482801,14,10,400,2815,1.0,7.0375,18.7006979762889,33.502487915415756,0.0,0.0,0,,0,3
static_centralized,0.0,570120,14,10,400,2887,1.0,7.2175,12.750957690064165,29.721402373300275,0.0,0.0,0,,0,4
static_centralized,0.0,976734,14,10,400,2804,1.0,7.01,22.63521263027947,37.95101473996506,0.0,0.0,0,,0,5
static_centralized,0.0,715270,14,10,400,2793,1.0,6.9825,17.080319309928303,30.736238816507683,0.0,0.0,0,,0,6
static_centralized,0.0,950715,14,10,400,2753,1.0,6.8825,22.50328815397875,36.45357512905524,0.0,0.0,0,,0,7
static_centralized,0.0,328561,14,10,400,2865,1.0,7.1625,13.360521215690994,23.751213222230277,0.0,0.0,0,,0,8
static_centralized,0.0,497162,14,10,400,2763,1.0,6.9075,22.291827897025794,38.16187280445917,0.0,0.0,0,,0,9
static_centralized,0.0,565604,14,10,400,2899,1.0,7.2475,24.737153034914485,43.99044062963483,0.0,0.0,0,,0,10
static_centralized,0.0,525184,14,10,400,2846,1.0,7.115,17.671951297205084,27.620098039622764,0.0,0.0,0,,0,11
static_centralized,0.0,837717,14,10,400,2781,1.0,6.9525,15.062422548186918,32.65702167561851,0.0,0.0,0,,0,12
static_centralized,0.0,375320,14,10,400,2823,1.0,7.0575,16.5760556011751,31.45086000373381,0.0,0.0,0,,0,13
static_centralized,0.0,902687,14,10,400,2821,1.0,7.0525,18.843841182338387,32.388499895086575,0.0,0.0,0,,0,14
static_centralized,0.0,929377,14,10,400,2813,1.0,7.0325,23.325997287498303,36.57876852441164,0.0,0.0,0,,0,15
static_centralized,0.0,876779,14,10,400,2819,1.0,7.0475,19.0331362101616,32.40931769277385,0.0,0.0,0,,0,16
static_centralized,0.0,338273,14,10,400,2778,1.0,6.945,22.615575730445453,39.12906143466584,0.0,0.0,0,,0,17
static_centralized,0.0,64566,14,10,400,2829,1.0,7.0725,15.967268297623496,27.512073265702607,0.0,0.0,0,,0,18
static_centralized,0.0,565222,14,10,400,2873,1.0,7.1825,19.078497706832405,32.19321611228457,0.0,0.0,0,,0,19
static_centralized,0.05,324693,14,10,400,2758,0.5145032632342277,3.5475,14.473654518685004,26.61165189299999,0.0,0.0,21,0.0,0,0
static_centralized,0.05,584194,14,10,400,2698,0.6319495922905857,4.2625,18.754809036855008,32.064054477704545,0.0,0.0,18,0.3333333333333333,0,1
static_centralized,0.05,136403,14,10,400,2826,0.7384996461429583,5.2175,25.294761480525402,45.40742540265633,0.0,0.0,9,0.0,0,2
static_centralized,0.05,624706,14,10,400,2792,0.6063753581661891,4.2325,15.546603018093425,26.867337857596272,0.0,0.0,15,0.0,0,3
static_centralized,0.05,645477,14,10,400,2788,0.6162123385939742,4.295,13.59305422953029,23.588195887163884,0.0,0.0,17,0.058823529411764705,0,4
static_centralized,0.05,416787,14,10,400,2743,0.4006562158220926,2.7475,18.40021021293949,40.296115123524594,0.0,0.0,14,0.0,0,5
static_centralized,0.05,360683,14,10,400,2810,0.5537366548042705,3.89,16.558395246727162,28.167021737766127,0.0,0.0,15,0.0,0,6
static_centralized,0.05,685057,14,10,400,2809,0.5204699181203275,3.655,18.180546232427282,30.717201943152077,0.0,0.0,12,0.0,0,7
static_centralized,0.05,557628,14,10,400,2795,0.42182468694096603,2.9475,16.161040562821025,29.316333827386423,0.0,0.0,17,0.23529411764705882,0,8
static_centralized,0.05,57522,14,10,400,2768,0.625,4.325,17.574169637535242,34.378607073961575,0.0,0.0,17,0.0,0,9
static_centralized,0.05,327736,14,10,400,2809,0.8668565325738697,6.0875,22.348496603761216,34.710098229164736,0.0,0.0,9,0.0,0,10
