,,success_rate,success_rate,throughput_per_tick,throughput_per_tick,p90_cost,p90_cost,control_overhead_ratio,control_overhead_ratio
,,mean,std,mean,std,mean,std,mean,std
strategy,churn_rate,,,,,,,,
adaptive_centralized,0.0,1.0,0.0,7.032375,0.14151082114099997,34.8182763085,3.438325450373697,0.08642114068207005,0.001606602293795132
adaptive_centralized,0.05,0.825515663447954,0.0845413704385388,5.785875,0.545622697740365,34.654348899151444,5.240624105148072,0.10382216486634685,0.00918783298170156
adaptive_centralized,0.1,0.6596644380011134,0.1923021016090542,4.607374999999999,1.3505009974372277,37.81073761840201,6.145436197909891,0.13632375706878358,0.04464249925800261
adaptive_centralized,0.2,0.5326883171572449,0.22346021557358542,3.72725,1.5624952420980194,42.01098872205888,10.54791854315398,0.186829332307224,0.1181797421709675
adaptive_centralized,0.3,0.5142094614550313,0.1807834565390167,3.5807499999999997,1.267802465727711,40.0320234424304,7.500546097105037,0.17860685447125207,0.08460547561741472
antsql,0.0,0.9938185890829094,0.008084763923060389,6.933,0.13835404621933967,63.30922086109316,10.247426239610862,0.23239593637982017,0.01934482864706669
antsql,0.05,0.7793558859743291,0.13129248346042585,5.476625,0.8886677917416314,65.09923848172625,15.99913172238568,0.2663622747973637,0.02516232532213316
antsql,0.1,0.7023806351772567,0.16751056331274233,4.8855,1.1591942528280035,71.69525146317528,13.677641038975786,0.2849015014228149,0.03542357676308622
antsql,0.2,0.6654079748997275,0.1455385212731827,4.674,1.0630453399252746,77.60703123368897,14.474809112413395,0.2856041286320449,0.035450065002101266
antsql,0.3,0.37730751339810786,0.22540147871265048,2.641,1.5710649254566151,80.29041337520374,17.968826746618532,0.30499809553034407,0.03639716025192075
decentralized_greedy,0.0,0.9883821377017321,0.003117642589555966,6.964625,0.147294180665411,34.07518928744959,7.101001513162548,0.6327933180576939,0.004916721098349466
decentralized_greedy,0.05,0.6798766247734231,0.15512888159897986,4.73725,1.0624608042305916,35.816318168390396,8.383452089332724,0.674937492188747,0.035437824627676445
decentralized_greedy,0.1,0.5422434659563276,0.11274989627410267,3.7964999999999995,0.8106139648439322,34.66945045424082,7.734024112954822,0.6865293336233053,0.023012232311708913
decentralized_greedy,0.2,0.3848496887536753,0.1371312927261597,2.711625,0.9749228292671763,38.7751881297526,11.420870674714928,0.7243045735898642,0.03190943009730181
decentralized_greedy,0.3,0.2891119069874995,0.08253065902539332,2.038625,0.5898084406911503,32.05274320509588,5.956068904680207,0.7535533537799252,0.030085345336215867
static_centralized,0.0,1.0,0.0,7.0508750000000004,0.1003293097491298,34.272531494760166,6.7706218478045015,0.0,0.0
static_centralized,0.05,0.6371089860779648,0.13568269680618256,4.44925,0.9689933395567091,31.800705831666356,5.898527192471462,0.0,0.0
static_centralized,0.1,0.508850772422191,0.17671259955011218,3.5472499999999996,1.2338186604368186,35.41352688283251,6.4287417486199026,0.0,0.0
static_centralized,0.2,0.3722769631400494,0.09582001981501155,2.616375,0.6662263499307914,34.08469218580328,7.295039141707371,0.0,0.0
static_centralized,0.3,0.29712722024940297,0.10778883219951456,2.07225,0.7493123602062727,34.63631186906237,9.221711836509568,0.0,0.0
