strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
static_centralized,0.0,506579,14,10,400,2752,1.0,6.88,19.435328479859166,33.807392302286445,0.0,0.0,0,,0,0
adaptive_centralized,0.0,506579,14,10,400,2752,1.0,6.88,19.435328479859166,33.807392302286445,266.0,0.08813783962889331,0,,0,0
decentralized_greedy,0.0,506579,14,10,400,2752,0.9912790697674418,6.82,19.49182957911445,33.807392302286445,4800.0,0.6376195536663124,0,,0,0
antsql,0.0,506579,14,10,400,2752,0.9992732558139535,6.875,30.59599174008042,63.5060186271741,878.0,0.24200661521499447,0,,0,0
static_centralized,0.0,919596,14,10,400,2724,1.0,6.81,15.025872426847384,24.129104774652394,0.0,0.0,0,,0,1
adaptive_centralized,0.0,919596,14,10,400,2724,1.0,6.81,15.025872426847384,24.129104774652394,266.0,0.08896321070234113,0,,0,1
decentralized_greedy,0.0,919596,14,10,400,2724,0.9864170337738619,6.7175,15.041943098062006,24.129104774652394,4800.0,0.6411112595164953,0,,0,1
antsql,0.0,919596,14,10,400,2724,0.9985315712187959,6.8,23.945193598935283,44.07717336293182,716.0,0.20838183934807916,0,,0,1
static_centralized,0.0,620059,14,10,400,2792,1.0,6.98,18.09688990060893,30.087188178691264,0.0,0.0,0,,0,2
adaptive_centralized,0.0,620059,14,10,400,2792,1.0,6.98,18.09688990060893,30.087188178691264,266.0,0.08698495748855462,0,,0,2
decentralized_greedy,0.0,620059,14,10,400,2792,0.9892550143266475,6.905,18.13597777351009,30.087188178691264,4800.0,0.6347527109230362,0,,0,2
antsql,0.0,620059,14,10,400,2792,0.9978510028653295,6.965,29.44535615585812,59.48306443402608,745.0,0.210988388558482,0,,0,2
static_centralized,0.0,292122,14,10,400,2773,1.0,6.9325,20.092785265295408,36.688548389614255,0.0,0.0,0,,0,3
adaptive_centralized,0.0,292122,14,10,400,2773,1.0,6.9325,20.092785265295408,36.688548389614255,266.0,0.08752879236590984,0,,0,3
decentralized_greedy,0.0,292122,14,10,400,2773,0.9931482149296791,6.885,20.16606214170215,36.688548389614255,4800.0,0.6354249404289118,0,,0,3
antsql,0.0,292122,14,10,400,2773,0.9343671114316625,6.4775,31.476277429892093,60.185522371553304,859.0,0.2489855072463768,0,,0,3
static_centralized,0.0,202782,14,10,400,2884,1.0,7.21,16.15532168701216,28.43974344098803,0.0,0.0,0,,0,4
adaptive_centralized,0.0,202782,14,10,400,2884,1.0,7.21,16.15532168701216,28.43974344098803,266.0,0.08444444444444445,0,,0,4
decentralized_greedy,0.0,202782,14,10,400,2884,0.9902912621359223,7.14,16.239640964222595,29.03599254621784,4800.0,0.6269592476489029,0,,0,4
