strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
static_centralized,0.0,683170,14,10,200,1461,1.0,7.305,22.853361822685613,37.629234884692075,0.0,0.0,0,,0,0
static_centralized,0.0,922520,14,10,200,1364,1.0,6.82,27.933583917228596,54.635423993679495,0.0,0.0,0,,0,1
static_centralized,0.1,917819,14,10,200,1359,0.6975717439293598,4.74,14.210034766193598,24.14094253497009,0.0,0.0,20,0.0,0,0
static_centralized,0.1,267463,14,10,200,1364,0.8709677419354839,5.94,23.92896042001397,41.45772894121744,0.0,0.0,20,0.0,0,1
static_centralized,0.3,847179,14,10,200,1382,0.35383502170767006,2.445,18.129042606718443,36.33249883981832,0.0,0.0,54,1.0185185185185186,0,0
static_centralized,0.3,842526,14,10,200,1368,0.5314327485380117,3.635,15.560895334172471,32.086334036795876,0.0,0.0,41,0.1282051282051282,2,1
adaptive_centralized,0.0,372946,14,10,200,1370,1.0,6.85,22.382398809280854,39.14459902707969,126.0,0.08422459893048129,0,,0,0
adaptive_centralized,0.0,55242,14,10,200,1417,1.0,7.085,22.076452085760145,36.46580073578955,126.0,0.08165910563836681,0,,0,1
adaptive_centralized,0.1,311960,14,10,200,1365,0.7824175824175824,5.34,23.107566896237746,38.8412238673236,126.0,0.10552763819095477,14,0.0,0,0
adaptive_centralized,0.1,827531,14,10,200,1450,0.9675862068965517,7.015,12.489795031727475,21.71088913204848,126.0,0.08240680183126227,7,0.0,0,1
adaptive_centralized,0.3,467148,14,10,200,1383,0.7006507592190889,4.845,17.774742216506663,31.69941910321563,126.0,0.11506849315068493,47,1.0425531914893618,0,0
adaptive_centralized,0.3,58364,14,10,200,1371,0.7417943107221007,5.085,17.54766332596839,34.2123639327046,126.0,0.11023622047244094,47,0.4782608695652174,0,1
decentralized_greedy,0.0,43593,14,10,200,1463,0.9651401230348599,7.06,17.100309591947056,29.003204580249413,2400.0,0.6295907660020986,0,,0,0
decentralized_greedy,0.0,336012,14,10,200,1377,0.9854756717501816,6.785,15.772675267920244,27.138670254673364,2400.0,0.6388075592227841,0,,0,1
decentralized_greedy,0.1,294035,14,10,200,1389,0.3700503959683225,2.57,10.374114915932699,22.292527505200425,1443.0,0.7373530914665304,19,3.111111111111111,1,0
decentralized_greedy,0.1,730139,14,10,200,1361,0.588537839823659,4.005,17.953155879536663,31.860093328967935,1602.0,0.6666666666666666,16,0.0,0,1
decentralized_greedy,0.3,527122,14,10,200,1378,0.3330914368650218,2.295,14.199685406925608,29.18662287570978,1481.0,0.76340206185567,54,0.7884615384615384,0,0
decentralized_greedy,0.3,935434,14,10,200,1371,0.3661560904449307,2.51,17.980502274957274,34.93891046227239,1330.0,0.7259825327510917,50,4.0,3,1
antsql,0.0,336710,14,10,200,1406,0.9992887624466572,7.025,28.19315794912146,64.34344108634541,437.0,0.23724212812160694,0,,0,0
antsql,0.0,726886,14,10,200,1458,0.9897119341563786,7.215,41.46323362683723,85.7235993861476,470.0,0.2456874019864088,0,,0,1
antsql,0.1,648087,14,10,200,1479,0.5280594996619338,3.905,29.307618854760676,62.57187878987055,357.0,0.31370826010544817,14,1.0769230769230769,0,0
antsql,0.1,426844,14,10,200,1439,0.7922168172341905,5.7,32.61548110160115,68.82885322435477,420.0,0.2692307692307692,16,0.8125,0,1
antsql,0.3,580269,14,10,200,1354,0.35302806499261447,2.39,29.925850562461118,64.61861040653139,245.0,0.338865836791148,50,4.48,0,0
antsql,0.3,959200,14,10,200,1385,0.30541516245487366,2.115,23.375781639516237,69.21383446647992,189.0,0.3088235294117647,41,0.1,1,1
